entry_time,exit_time,side,entry_price,exit_price,size,pnl
2025-01-16 19:00:00,2025-01-16 21:00:00,long,100382.0,100352.85,200000.0,-58.078141499460415
2025-01-17 00:00:00,2025-01-17 02:00:00,long,100087.4,100175.5,199883.84371700112,175.94389135364653
2025-01-17 01:00:00,2025-01-17 03:00:00,long,101636.2,101473.15,200235.73149970837,-321.2284207893254
2025-01-27 02:00:00,2025-01-27 04:00:00,short,100940.7,100726.3,199593.27465812973,423.9399774986884
2025-01-27 04:00:00,2025-01-27 07:00:00,short,100363.5,99638.4,200441.15461312712,1448.1348419493106
2025-01-29 20:00:00,2025-01-29 22:00:00,long,104155.5,104092.6,203337.42429702572,-122.79643406523643
2025-01-30 00:00:00,2025-01-30 02:00:00,long,103978.3,104008.2,203091.83142889524,58.40108714724885
2025-01-30 14:00:00,2025-01-30 16:00:00,long,105879.8,105528.95000000001,203208.63360318972,-673.3649770747332
2025-02-01 09:00:00,2025-02-01 12:00:00,short,101639.0,101746.9,201861.9036490403,-214.29667158994354
2025-02-03 00:00:00,2025-02-03 02:00:00,short,96464.6,96001.3,201433.3103058604,967.443525031003
2025-02-03 01:00:00,2025-02-03 03:00:00,short,93408.4,93992.6,203368.19735592243,-1271.9166680441188
2025-02-03 04:00:00,2025-02-03 06:00:00,short,92765.2,93238.85,200824.36401983417,-1025.3894781447807
2025-02-03 11:00:00,2025-02-03 13:00:00,short,95070.8,95022.2,198773.58506354463,101.61265324462849
2025-02-03 12:00:00,2025-02-03 14:00:00,short,94731.0,94604.0,198976.8103700339,266.75591851658174
2025-02-05 21:00:00,2025-02-05 23:00:00,short,96884.1,96553.3,199510.32220706707,681.2058385854683
2025-02-11 05:00:00,2025-02-11 08:00:00,long,98378.8,98202.75,200872.73388423797,-359.46407966269845
2025-02-17 15:00:00,2025-02-17 20:00:00,short,95605.5,96173.7,200153.8057249126,-1189.5486390730111
2025-02-19 03:00:00,2025-02-19 05:00:00,short,95672.1,95570.6,197774.7084467666,209.82222515599437
2025-02-19 19:00:00,2025-02-19 23:00:00,long,96159.9,96665.4,198194.35289707856,1041.8817551752156
2025-02-24 14:00:00,2025-02-24 16:00:00,short,94638.6,94528.6,200278.116407429,232.78654592119062
2025-02-24 15:00:00,2025-02-24 17:00:00,short,94295.9,94317.29999999999,200743.6894992714,-45.557812749899405
2025-02-24 18:00:00,2025-02-24 20:00:00,short,94122.0,93899.9,200652.5738737716,473.48055350891224
2025-02-24 22:00:00,2025-02-25 00:00:00,short,92380.2,91062.2,201599.5349807894,2876.246069013495
2025-02-26 12:00:00,2025-02-26 14:00:00,short,87900.0,87767.1,207352.02711881636,313.5049420260465
2025-02-26 18:00:00,2025-02-26 20:00:00,short,84204.9,83434.29999999999,207979.03700286846,1903.3173356231246
2025-02-28 01:00:00,2025-02-28 03:00:00,short,81606.8,80960.2,211785.6716741147,1678.0539771744975
2025-02-28 02:00:00,2025-02-28 04:00:00,short,80772.0,80672.3,215141.7796284637,265.55780999550836
2025-02-28 03:00:00,2025-02-28 05:00:00,short,80429.2,80370.7,215672.89524845473,156.86920138500201
2025-02-28 05:00:00,2025-02-28 07:00:00,short,79938.4,79604.2,215986.63365122472,902.9794562593032
2025-03-12 07:00:00,2025-03-12 09:00:00,long,82402.9,82715.59999999999,217792.59256374335,826.4726568443818
2025-03-21 11:00:00,2025-03-21 13:00:00,short,84006.0,83994.09999999999,219445.5378774321,31.085897444746305
2025-03-21 12:00:00,2025-03-21 14:00:00,short,83428.6,83550.35,219507.70967232162,-320.3345573652819
2025-03-21 15:00:00,2025-03-21 17:00:00,short,83525.9,83704.15,218867.04055759107,-467.0772775796563
2025-03-28 05:00:00,2025-03-28 07:00:00,short,86007.3,85939.5,217932.88600243177,171.7976226548852
2025-03-28 06:00:00,2025-03-28 08:00:00,short,85680.1,85406.5,218276.4812477415,697.01652156549
2025-03-28 07:00:00,2025-03-28 10:00:00,short,85175.1,84867.90000000001,219670.5142908725,792.2829792997646
2025-04-01 08:00:00,2025-04-01 10:00:00,long,84069.9,84323.59999999999,221255.080249472,667.6874108246876
2025-04-07 02:00:00,2025-04-07 04:00:00,short,78405.9,77928.99999999999,222590.4550711214,1353.8954086799558
2025-04-07 03:00:00,2025-04-07 05:00:00,short,77669.6,77431.80000000002,225298.2458884813,689.7926971721012
2025-04-07 06:00:00,2025-04-07 08:00:00,short,74781.4,75467.75,226677.8312828255,-2080.468264848861
2025-04-09 11:00:00,2025-04-09 13:00:00,short,76204.1,76484.15000000001,222516.89475312774,-817.7493911169355
2025-04-15 03:00:00,2025-04-15 05:00:00,long,85351.9,85364.3,220881.3959708939,32.089845803561644
2025-04-21 14:00:00,2025-04-21 16:00:00,long,88153.8,88040.35,220945.57566250104,-284.34707929675295
2025-04-22 01:00:00,2025-04-22 03:00:00,long,88350.1,88197.95000000001,220376.8815039075,-379.5167466796103
2025-04-22 11:00:00,2025-04-22 13:00:00,long,88572.7,88659.2,219617.8480105483,214.47854534086042
2025-04-22 12:00:00,2025-04-22 14:00:00,long,88947.2,89176.4,220046.80510122998,567.0187226714419
2025-04-22 13:00:00,2025-04-22 15:00:00,long,90180.6,90202.70000000001,221180.8425465729,54.203416480712576
2025-04-22 14:00:00,2025-04-22 16:00:00,long,90744.1,90836.6,221289.2493795343,225.5712004153099
2025-04-22 15:00:00,2025-04-22 17:00:00,long,90881.2,90966.4,221740.3917803649,207.8788724146077
2025-04-22 17:00:00,2025-04-22 19:00:00,long,91343.6,91465.40000000001,222156.14952519417,296.2289532290089
2025-04-22 21:00:00,2025-04-22 23:00:00,long,92974.3,93163.1,222748.6074316522,452.32862288929937
2025-04-22 23:00:00,2025-04-23 01:00:00,long,93404.9,93167.54999999999,223653.2646774308,-568.3224581492995
2025-04-23 04:00:00,2025-04-23 06:00:00,long,93606.1,93399.05,222516.61976113217,-492.1908521083889
2025-04-23 07:00:00,2025-04-23 09:00:00,long,94102.5,93956.79999999999,221532.2380569154,-343.0009519927223
2025-04-23 12:00:00,2025-04-23 14:00:00,long,93695.7,93604.7,220846.23615292995,-214.49231384062048
